date;cpi;cpi_excl_gold;non_fuel_price;food;food2;beverage;industrial_inputs;agriculture;agriculture_raw;all_metals;base_metals;precious_metals;all_metals_excl_gold;fertilizer;fuel;crude_oil;natural_gas;coal
01/09/2019;114.81;114.1;108.63;95.08;96.05;83.54;124.1;95.37;97.36;128.68;134.73;122.84;134.85;109.45;123.74;142.33;80.85;94.13
01/10/2019;113.01;112.25;107.83;95.42;96.38;84.01;121.74;95.48;95.92;126.84;132;121.84;132.57;104.47;120.51;135.55;83.54;101.83
01/11/2019;116.98;116.89;108.6;99.41;100.28;89.22;119.01;99.39;99.19;123.45;126.89;120.13;128.06;98.23;129.1;142.6;96.16;109.96
01/12/2019;119.99;120.19;111.44;103.04;104.02;91.49;122.09;102.54;99.12;126.11;131.21;121.18;132.48;97.43;132.37;149.22;87.37;114.81
01/01/2020;119.57;118.95;114.14;104.14;105.4;89.24;124.49;103.89;102.19;131.15;133.35;129.02;136.1;96.74;127.41;145.14;76.92;119.18
01/02/2020;110.94;109.02;111.37;100.12;101.11;88.38;118.31;99.97;98.97;129.42;126;132.72;130.61;102.52;110.31;126.53;61.64;114.74
01/03/2020;93.73;89.91;107.59;96.44;97.2;87.5;113.21;96.37;95.85;124.55;120.11;128.84;122.14;108.37;73.68;76.22;60;101.16
01/04/2020;83.97;78.22;105.54;92.42;92.93;86.33;108.41;92.28;91.33;125.34;115.19;135.15;117.68;109.35;52.77;50.45;48.7;87.55
01/05/2020;91.33;86.11;108.22;95.63;96.52;85.16;112.8;94.98;90.56;129.6;121.64;137.3;123.22;92.63;66.92;72.25;43.63;80.47
01/06/2020;99.88;95.48;111.95;98.42;99.81;82.07;120.72;97.6;92.05;135.67;132.11;139.11;133.17;88.55;82.42;92.83;43.38;81.57
01/07/2020;103.08;98.04;114.27;96.49;97.64;82.98;125.86;95.96;92.36;143.91;139.17;148.49;140.88;91.9;86.9;98.08;45.93;78.36
01/08/2020;108.93;103.41;119.67;97.94;98.62;89.89;133.78;97.66;95.73;154.7;148.91;160.3;152.31;100.26;93.38;99.85;67.13;79.45
01/09/2020;108.21;103.03;120.43;99.35;100;91.67;136.65;99.1;97.43;154.73;152.24;157.14;155.34;97.31;90.53;93.32;75.92;81.86
01/10/2020;110.62;105.91;122.56;103.79;105.35;85.39;137.76;103.82;103.98;153.18;151.18;155.12;153.96;96.56;93.34;91.57;93.41;87.05
01/11/2020;115.14;111.28;125.48;106.79;108.41;87.63;144.38;107.13;109.4;155.41;158.29;152.63;160.37;100.67;100.19;96.88;102.12;98.94
01/12/2020;125.54;122.92;130.18;107.93;109.5;89.32;159.49;107.94;108.05;166.12;179.93;152.77;180.23;103.84;118.82;110.07;130.63;127.84
01/01/2021;137.39;136.02;136.42;114.34;116.42;89.79;167.37;113.93;111.17;171.69;189.71;154.27;189.6;122.44;138.81;120.32;182.88;135
01/02/2021;140.57;140.08;138.58;117.39;119.48;92.76;170.25;116.66;111.7;171.87;193.53;150.94;193.73;138.22;143.44;136.26;146.86;133.71
01/03/2021;141.25;141.65;140.27;120.01;122.26;93.37;174.96;119.29;114.47;171.28;199.01;144.48;198.49;149.87;142.66;145.1;110.64;141.68
01/04/2021;145.04;145.48;146.22;126.84;129.75;92.34;181.24;125.2;114.13;177.89;207.91;148.86;207.62;148.74;143.34;142.87;126.15;141.59
01/05/2021;155.67;156.46;155.95;134.27;137.29;98.57;198.17;132.29;118.89;192.49;229.68;156.54;227.95;148.2;155.27;149.65;152.3;156.4
01/06/2021;161.72;163.39;154.86;129.29;131.71;100.65;203.75;127.97;119.09;194.96;237.41;153.92;233.77;163.02;171.66;162.28;176.07;183.89
01/07/2021;166.14;168.56;154.45;130.15;132.17;106.24;202.23;127.89;112.61;193.94;237.85;151.49;233.7;163.97;183.05;167.08;209.93;205.25
01/08/2021;163.76;166.12;149.15;130.76;132.4;111.36;183.27;128.11;110.18;179.7;212.33;148.16;209.45;165.37;184.89;157.23;246.06;231.34
01/09/2021;172.67;176.1;144.3;128.34;129.15;118.78;167.86;125.78;108.46;168.12;191.47;145.54;188.94;195.28;213.71;166.18;345.33;260.61
01/10/2021;192.39;198.05;147.46;130.51;131.14;123.06;172.16;128.24;112.83;170.06;195.74;145.24;192.49;225.75;257.37;188.48;458.47;338.06
01/11/2021;183.84;188.14;146.84;131.91;132.36;126.61;161.53;129.9;116.29;163.82;179.51;148.66;178.39;250.89;237.35;184.64;418.74;235.57
01/12/2021;186.94;191.89;149.33;134.68;135.13;129.34;168.62;132.05;114.32;166.99;190.2;144.55;186.29;251.17;241.34;169.41;506.7;236.18
01/01/2022;190.9;196.03;155.05;138.96;139.82;128.79;182.85;136.22;117.71;177.86;208.74;148;203.99;223.69;242.76;194.55;392.14;298.62
