pays;value;date
AUS;1.03;01/10/2019
AUS;1.15;01/11/2019
AUS;1.2;01/12/2019
AUS;1.15;01/01/2020
AUS;0.98;01/02/2020
AUS;0.89;01/03/2020
AUS;0.86;01/04/2020
AUS;0.91;01/05/2020
AUS;0.92;01/06/2020
AUS;0.88;01/07/2020
AUS;0.89;01/08/2020
AUS;0.9;01/09/2020
AUS;0.82;01/10/2020
AUS;0.87;01/11/2020
AUS;0.98;01/12/2020
AUS;1.05;01/01/2021
AUS;1.32;01/02/2021
AUS;1.69;01/03/2021
AUS;1.65;01/04/2021
AUS;1.62;01/05/2021
AUS;1.52;01/06/2021
AUS;1.25;01/07/2021
AUS;1.12;01/08/2021
AUS;1.28;01/09/2021
AUS;1.72;01/10/2021
AUS;1.81;01/11/2021
AUS;1.61;01/12/2021
DEU;-0.4695455;01/10/2019
DEU;-0.352381;01/11/2019
DEU;-0.2994444;01/12/2019
DEU;-0.3136364;01/01/2020
DEU;-0.466;01/02/2020
DEU;-0.5413637;01/03/2020
DEU;-0.4495;01/04/2020
DEU;-0.5165;01/05/2020
DEU;-0.4342857;01/06/2020
DEU;-0.5230435;01/07/2020
DEU;-0.5233333;01/08/2020
DEU;-0.5240909;01/09/2020
DEU;-0.6072727;01/10/2020
DEU;-0.6147619;01/11/2020
DEU;-0.6185;01/12/2020
DEU;-0.5835;01/01/2021
DEU;-0.4455;01/02/2021
DEU;-0.3647826;01/03/2021
DEU;-0.325;01/04/2021
DEU;-0.2235;01/05/2021
DEU;-0.2886364;01/06/2021
DEU;-0.4513636;01/07/2021
DEU;-0.5386364;01/08/2021
DEU;-0.3627273;01/09/2021
DEU;-0.2042857;01/10/2021
DEU;-0.3136364;01/11/2021
DEU;-0.3842857;01/12/2021
CAN;1.449546;01/10/2019
CAN;1.4995;01/11/2019
CAN;1.6045;01/12/2019
CAN;1.492273;01/01/2020
CAN;1.294737;01/02/2020
CAN;0.8190909;01/03/2020
CAN;0.6571429;01/04/2020
CAN;0.551;01/05/2020
CAN;0.5613636;01/06/2020
CAN;0.5163636;01/07/2020
CAN;0.5635;01/08/2020
CAN;0.5595238;01/09/2020
CAN;0.6028572;01/10/2020
CAN;0.6885;01/11/2020
CAN;0.7309524;01/12/2020
CAN;0.8055;01/01/2021
CAN;1.099474;01/02/2021
CAN;1.496522;01/03/2021
CAN;1.516191;01/04/2021
CAN;1.524;01/05/2021
CAN;1.425;01/06/2021
CAN;1.251429;01/07/2021
CAN;1.191905;01/08/2021
CAN;1.263;01/09/2021
CAN;1.597;01/10/2021
CAN;1.685714;01/11/2021
CAN;1.4515;01/12/2021
ITA;1.00355;01/10/2019
ITA;1.26594;01/11/2019
ITA;1.37011;01/12/2019
ITA;1.27499;01/01/2020
ITA;0.9555;01/02/2020
ITA;1.55118;01/03/2020
ITA;1.79913;01/04/2020
ITA;1.76204;01/05/2020
ITA;1.4552;01/06/2020
ITA;1.19629;01/07/2020
ITA;1.03189;01/08/2020
ITA;0.98121;01/09/2020
ITA;0.77007;01/10/2020
ITA;0.66399;01/11/2020
ITA;0.57801;01/12/2020
ITA;0.61566;01/01/2021
ITA;0.59041;01/02/2021
ITA;0.70399;01/03/2021
ITA;0.79727;01/04/2021
ITA;0.98446;01/05/2021
ITA;0.8746;01/06/2021
ITA;0.74775;01/07/2021
ITA;0.62758;01/08/2021
ITA;0.77658;01/09/2021
ITA;0.95487;01/10/2021
ITA;1.00969;01/11/2021
ITA;1.04735;01/12/2021
FRA;-0.1574;01/10/2019
FRA;-0.0204;01/11/2019
FRA;0.0362;01/12/2019
FRA;-0.007;01/01/2020
FRA;-0.1772;01/02/2020
FRA;-0.0584;01/03/2020
FRA;0.0578;01/04/2020
FRA;-0.0301;01/05/2020
FRA;-0.044;01/06/2020
FRA;-0.1478;01/07/2020
FRA;-0.1713;01/08/2020
FRA;-0.2072;01/09/2020
FRA;-0.2966;01/10/2020
FRA;-0.3262;01/11/2020
FRA;-0.3352;01/12/2020
FRA;-0.3052;01/01/2021
FRA;-0.1504;01/02/2021
FRA;-0.0701;01/03/2021
FRA;-0.0056;01/04/2021
FRA;0.2068;01/05/2021
FRA;0.153;01/06/2021
FRA;-0.0058;01/07/2021
FRA;-0.1143;01/08/2021
FRA;0.04;01/09/2021
FRA;0.2;01/10/2021
FRA;0.09;01/11/2021
FRA;0.05;01/12/2021
MEX;6.87;01/10/2019
MEX;7.14;01/12/2019
MEX;6.85;01/01/2020
MEX;6.47;01/02/2020
MEX;7.37;01/04/2020
MEX;6.06;01/05/2020
MEX;5.81;01/07/2020
MEX;5.77;01/08/2020
MEX;5.68;01/09/2020
MEX;6.07;01/11/2020
MEX;5.67;01/12/2020
MEX;5.61;01/01/2021
MEX;6.25;01/03/2021
MEX;6.68;01/04/2021
MEX;6.54;01/06/2021
MEX;6.9;01/07/2021
MEX;6.98;01/08/2021
MEX;7.61;01/10/2021
MEX;7.54;01/11/2021
MEX;7.57;01/12/2021
ZAF;8.93;01/10/2019
ZAF;9.13;01/11/2019
ZAF;9.12;01/12/2019
ZAF;9.02;01/01/2020
ZAF;8.94;01/02/2020
ZAF;10.85;01/03/2020
ZAF;11.23;01/04/2020
ZAF;10.07;01/05/2020
ZAF;9.96;01/06/2020
ZAF;10.27;01/07/2020
ZAF;10.19;01/08/2020
ZAF;10.22;01/09/2020
ZAF;10.39;01/10/2020
ZAF;9.97;01/11/2020
ZAF;9.79;01/12/2020
ZAF;9.71;01/01/2021
ZAF;9.5;01/02/2021
ZAF;10.09;01/03/2021
ZAF;10.03;01/04/2021
ZAF;9.82;01/05/2021
ZAF;9.53;01/06/2021
ZAF;9.62;01/07/2021
ZAF;9.57;01/08/2021
ZAF;9.62;01/09/2021
ZAF;10.06;01/10/2021
ZAF;10.02;01/11/2021
ZAF;9.9;01/12/2021
USA;1.71;01/10/2019
USA;1.81;01/11/2019
USA;1.86;01/12/2019
USA;1.76;01/01/2020
USA;1.5;01/02/2020
USA;0.87;01/03/2020
USA;0.66;01/04/2020
USA;0.67;01/05/2020
USA;0.73;01/06/2020
USA;0.62;01/07/2020
USA;0.65;01/08/2020
USA;0.68;01/09/2020
USA;0.79;01/10/2020
USA;0.87;01/11/2020
USA;0.93;01/12/2020
USA;1.08;01/01/2021
USA;1.26;01/02/2021
USA;1.61;01/03/2021
USA;1.64;01/04/2021
USA;1.62;01/05/2021
USA;1.52;01/06/2021
USA;1.32;01/07/2021
USA;1.28;01/08/2021
USA;1.37;01/09/2021
USA;1.58;01/10/2021
USA;1.56;01/11/2021
USA;1.47;01/12/2021
GBR;0.6373;01/10/2019
GBR;0.765;01/11/2019
GBR;0.8308;01/12/2019
GBR;0.7235;01/01/2020
GBR;0.633;01/02/2020
GBR;0.4609;01/03/2020
GBR;0.3577;01/04/2020
GBR;0.2743;01/05/2020
GBR;0.278;01/06/2020
GBR;0.2094;01/07/2020
GBR;0.2717;01/08/2020
GBR;0.273;01/09/2020
GBR;0.3058;01/10/2020
GBR;0.3836;01/11/2020
GBR;0.3224;01/12/2020
GBR;0.3672;01/01/2021
GBR;0.6222;01/02/2021
GBR;0.8456;01/03/2021
GBR;0.8515;01/04/2021
GBR;0.9058;01/05/2021
GBR;0.8549;01/06/2021
GBR;0.6979;01/07/2021
GBR;0.644;01/08/2021
GBR;0.8023;01/09/2021
GBR;1.083;01/10/2021
GBR;0.9394;01/11/2021
GBR;0.84;01/12/2021
KOR;1.577;01/10/2019
KOR;1.75;01/11/2019
KOR;1.653;01/12/2019
KOR;1.656;01/01/2020
KOR;1.54;01/02/2020
KOR;1.485;01/03/2020
KOR;1.504;01/04/2020
KOR;1.394;01/05/2020
KOR;1.392;01/06/2020
KOR;1.36;01/07/2020
KOR;1.373;01/08/2020
KOR;1.5;01/09/2020
KOR;1.507;01/10/2020
KOR;1.61;01/11/2020
KOR;1.675;01/12/2020
KOR;1.731;01/01/2021
KOR;1.845;01/02/2021
KOR;2.04;01/03/2021
KOR;2.041;01/04/2021
KOR;2.131;01/05/2021
KOR;2.103;01/06/2021
KOR;1.976;01/07/2021
KOR;1.905;01/08/2021
KOR;2.061;01/09/2021
KOR;2.399;01/10/2021
KOR;2.355;01/11/2021
KOR;2.187;01/12/2021
JPN;-0.15;01/10/2019
JPN;-0.08;01/11/2019
JPN;-0.025;01/12/2019
JPN;-0.065;01/01/2020
JPN;-0.155;01/02/2020
JPN;0.005;01/03/2020
JPN;-0.04;01/04/2020
JPN;0;01/05/2020
JPN;0.03;01/06/2020
JPN;0.01;01/07/2020
JPN;0.045;01/08/2020
JPN;0.015;01/09/2020
JPN;0.04;01/10/2020
JPN;0.03;01/11/2020
JPN;0.02;01/12/2020
JPN;0.055;01/01/2021
JPN;0.15;01/02/2021
JPN;0.12;01/03/2021
JPN;0.09;01/04/2021
JPN;0.08;01/05/2021
JPN;0.05;01/06/2021
JPN;0.015;01/07/2021
JPN;0.02;01/08/2021
JPN;0.065;01/09/2021
JPN;0.095;01/10/2021
JPN;0.05;01/11/2021
JPN;0.07;01/12/2021
IND;6.54;01/10/2019
IND;6.64;01/11/2019
IND;6.85;01/12/2019
IND;6.82;01/01/2020
IND;6.66;01/02/2020
IND;6.37;01/03/2020
IND;6.68;01/04/2020
IND;5.92;01/05/2020
IND;5.86;01/06/2020
IND;5.81;01/07/2020
IND;6.01;01/08/2020
IND;6.03;01/09/2020
IND;5.95;01/10/2020
IND;5.89;01/11/2020
IND;5.89;01/12/2020
IND;5.94;01/01/2021
IND;6.2;01/02/2021
IND;6.35;01/03/2021
IND;6.28;01/04/2021
IND;6.23;01/05/2021
IND;6.27;01/06/2021
IND;6.21;01/07/2021
IND;6.28;01/08/2021
IND;6.19;01/09/2021
IND;6.36;01/10/2021
IND;5.8;01/11/2021
